mi_consumer_luxury-goods_united-states_usd_en_2025-4-4_15-07-32
Region,Market,Chart,Name,Unit,Source,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
United States,Luxury Leather Goods,Revenue Comparison,Israel,USD (US$),Statista Market Insights,"252,840,363.609","292,594,160.643","209,563,915.441","268,708,757.212","372,112,516.03","410,593,777.994","421,033,246.366","431,043,655.975","440,953,961.488","450,765,163.946","460,478,254.379","470,094,213.908"
United States,Luxury Leather Goods,Revenue Comparison,South Africa,USD (US$),Statista Market Insights,"121,863,822.115","131,816,986.303","76,042,660.377","85,473,953.023","132,558,206.14","161,414,430.103","168,659,865.762","175,610,072.439","182,490,777.049","189,302,674.613","196,046,453.202","202,722,794.005"
United States,Luxury Leather Goods,Revenue Comparison,Turkey,USD (US$),Statista Market Insights,"433,959,545.483","416,922,110.459","250,784,499.08","300,253,712.687","353,895,038.09","409,362,637.788","422,677,553.31","435,452,821.192","448,100,336.395","460,621,376.447","473,017,206.097","485,289,077.452"
United States,Luxury Leather Goods,Revenue Comparison,Argentina,USD (US$),Statista Market Insights,"75,223,526","90,917,881","75,125,132","84,231,911","139,442,243.93","160,205,774.962","165,800,300.34","171,165,062.849","176,476,177.733","181,734,181.468","186,939,605.166","192,092,974.627"
United States,Luxury Leather Goods,Revenue Comparison,Brazil,USD (US$),Statista Market Insights,"372,938,114.627","389,118,330.424","231,659,115.185","261,256,232.226","318,752,839.35","343,995,635.536","350,638,358.139","357,008,967.984","363,315,871.73","369,559,706.439","375,741,102.801","381,860,685.199"
United States,Luxury Leather Goods,Revenue Comparison,Mexico,USD (US$),Statista Market Insights,"408,003,802.617","478,351,059.392","271,822,193.032","474,608,705.929","526,616,401.58","568,971,811.029","579,550,803.218","589,698,978.021","599,745,671.076","609,691,897.201","619,538,661.064","629,286,957.289"
United States,Luxury Leather Goods,Revenue Comparison,China,USD (US$),Statista Market Insights,"7,414,674,484.05","8,374,927,505.824","7,716,387,907.662","8,136,740,214.481","9,731,649,171.17","10,831,958,694.697","11,325,242,976.084","12,063,313,612.388","12,794,003,542.328","13,517,386,572.97","14,233,535,773.304","14,942,523,481.636"
United States,Luxury Leather Goods,Revenue Comparison,India,USD (US$),Statista Market Insights,"1,148,277,998.625","1,335,377,130.721","812,033,685.984","867,452,275.114","1,472,677,828.1","1,750,669,447.713","1,823,091,039.164","1,892,549,277.773","1,961,312,933.995","2,029,388,953.656","2,096,784,213.12","2,163,505,519.989"
United States,Luxury Leather Goods,Revenue Comparison,Indonesia,USD (US$),Statista Market Insights,"488,266,385.16","574,716,935.004","416,447,549.465","457,554,437.623","682,575,628.26","792,222,113.6","820,577,448.284","847,773,489.387","874,697,570.078","901,352,409.963","927,740,701.448","953,865,110.019"
United States,Luxury Leather Goods,Revenue Comparison,Japan,USD (US$),Statista Market Insights,"3,927,513,222.658","4,486,220,931.612","4,293,427,564.711","4,835,253,554.563","4,768,793,139.15","5,332,877,888.292","5,457,736,831.218","5,577,587,477.496","5,696,239,617.312","5,813,705,235.73","5,929,996,197.964","6,045,124,250.575"
United States,Luxury Leather Goods,Revenue Comparison,Malaysia,USD (US$),Statista Market Insights,"446,387,189.311","494,521,677.846","374,226,652.116","476,575,889.28","590,177,257.01","686,917,126.305","710,532,531.795","733,188,866.419","755,618,637.698","777,824,111.263","799,807,530.093","821,571,114.734"
United States,Luxury Leather Goods,Revenue Comparison,Philippines,USD (US$),Statista Market Insights,"307,101,703.005","371,897,505.592","243,096,437.267","306,651,474.988","469,610,409.37","542,286,503.495","561,371,040.359","579,673,979.417","597,793,889.085","615,732,599.656","633,491,923.121","651,073,653.352"
United States,Luxury Leather Goods,Revenue Comparison,Singapore,USD (US$),Statista Market Insights,"670,034,433.825","758,796,403.066","541,727,299.751","875,384,997.373","912,660,265.09","1,045,523,544.444","1,076,126,188.272","1,105,494,882.046","1,134,569,888.882","1,163,354,145.65","1,191,850,559.85","1,220,062,009.908"
United States,Luxury Leather Goods,Revenue Comparison,South Korea,USD (US$),Statista Market Insights,"955,491,546.213","1,063,455,318.049","902,723,837.004","1,272,710,150.87","1,265,814,145.03","1,452,223,093.386","1,493,998,899.404","1,534,096,226.69","1,573,792,580.703","1,613,091,971.177","1,651,998,367.745","1,690,515,700.348"
United States,Luxury Leather Goods,Revenue Comparison,Thailand,USD (US$),Statista Market Insights,"519,876,317.493","644,837,375.384","601,744,986.463","652,756,282.429","862,297,111.92","1,012,081,415.17","1,049,106,585.671","1,084,625,854.965","1,119,789,931.566","1,154,602,367.401","1,189,066,678.878","1,223,186,347.24"
United States,Luxury Leather Goods,Revenue Comparison,Vietnam,USD (US$),Statista Market Insights,"344,247,864.248","405,329,610.057","310,507,324.757","381,683,124.046","520,376,665.04","603,680,478.791","624,712,923.38","644,887,807.132","664,860,942.046","684,634,345.612","704,210,015.142","723,589,927.976"
United States,Luxury Leather Goods,Revenue Comparison,Austria,USD (US$),Statista Market Insights,"296,979,215.574","318,245,690.719","265,316,184.118","325,812,352.612","320,595,478.58","363,550,386.396","373,077,637.257","382,222,629.178","391,276,171.18","400,239,177.761","409,112,554.277","417,897,197.027"
United States,Luxury Leather Goods,Revenue Comparison,Belgium,USD (US$),Statista Market Insights,"374,636,859.082","383,909,752.216","285,939,638.352","375,298,093.52","357,861,271.8","409,855,334.864","421,210,059.483","432,110,150.362","442,901,240.333","453,584,419.405","464,160,766.685","474,631,350.493"
United States,Luxury Leather Goods,Revenue Comparison,Bulgaria,USD (US$),Statista Market Insights,"64,633,977.906","69,136,132.558","63,252,285.963","82,320,498.412","66,387,317.03","75,496,083.715","77,264,615.43","78,963,536.375","80,645,468.112","82,310,580.53","83,959,041.825","85,591,018.507"
United States,Luxury Leather Goods,Revenue Comparison,Croatia,USD (US$),Statista Market Insights,"26,555,229.519","28,694,243.836","25,853,328.663","34,221,738.061","27,558,901.19","32,065,230.762","32,960,177.689","33,819,776.527","34,670,779.378","35,513,272.199","36,347,340.092","37,173,067.307"
United States,Luxury Leather Goods,Revenue Comparison,Czechia,USD (US$),Statista Market Insights,"70,878,489.906","73,821,756.296","61,873,019.147","79,247,587.566","72,866,218.32","82,219,301.595","84,207,177.73","86,115,758.241","88,005,252.946","89,875,852.704","91,727,746.465","93,561,121.288"
United States,Luxury Leather Goods,Revenue Comparison,Denmark,USD (US$),Statista Market Insights,"290,120,511.128","302,884,304.73","281,640,702.479","357,159,077.805","334,849,681.41","385,702,605.792","396,707,391.59","407,272,103.463","417,731,168.218","428,085,642.325","438,336,571.691","448,484,991.763"
United States,Luxury Leather Goods,Revenue Comparison,Estonia,USD (US$),Statista Market Insights,"6,985,064.18","7,756,317.191","7,127,896.547","9,584,426.802","7,888,760.23","8,854,073.468","9,041,966.681","9,222,461.342","9,401,151.056","9,578,053.873","9,753,187.662","9,926,570.113"
United States,Luxury Leather Goods,Revenue Comparison,Finland,USD (US$),Statista Market Insights,"150,816,109.84","159,634,577.033","152,690,305.35","190,791,266.083","163,761,745.34","185,360,794.142","189,734,573.742","193,935,096.632","198,093,614.293","202,210,546.777","206,286,309.937","210,321,315.464"
United States,Luxury Leather Goods,Revenue Comparison,France,USD (US$),Statista Market Insights,"3,692,775,855.528","3,795,455,897.804","3,051,026,503.527","3,760,789,253.497","3,639,730,656.44","4,857,553,786.237","5,126,839,802.209","5,385,325,856.341","5,641,227,049.931","5,894,569,231.586","6,145,377,991.423","6,393,678,663.663"
United States,Luxury Leather Goods,Revenue Comparison,Germany,USD (US$),Statista Market Insights,"1,900,444,875.136","1,998,049,576.803","1,767,966,747.119","2,011,324,450.188","1,958,125,251.97","2,218,830,156.37","2,276,115,261.757","2,331,104,831.18","2,385,544,504.909","2,439,439,781.9","2,492,796,106.122","2,545,618,867.101"
United States,Luxury Leather Goods,Revenue Comparison,Greece,USD (US$),Statista Market Insights,"110,369,373.533","118,526,601.199","97,209,609.362","123,421,437.509","110,933,571.46","126,911,004.831","130,274,082.758","133,503,192.031","136,700,010.211","139,864,860.21","142,998,061.708","146,099,931.192"
United States,Luxury Leather Goods,Revenue Comparison,Hungary,USD (US$),Statista Market Insights,"68,991,926.903","72,523,754.548","56,694,753.621","69,165,045.885","59,698,976.23","67,874,513.445","69,539,449.751","71,138,378.839","72,721,318.636","74,288,429.035","75,839,868.331","77,375,793.233"
United States,Luxury Leather Goods,Revenue Comparison,Ireland,USD (US$),Statista Market Insights,"190,119,006.563","205,259,706.298","153,178,644.213","201,993,067.634","218,252,882.19","247,372,594.855","254,188,442.148","260,728,905.66","267,203,964.536","273,614,272.824","279,960,478.029","286,243,221.181"
United States,Luxury Leather Goods,Revenue Comparison,Italy,USD (US$),Statista Market Insights,"1,463,147,247.888","1,486,642,727.771","1,140,932,059.367","1,436,084,161.558","1,371,999,814.89","1,566,030,530.333","1,608,371,038.846","1,649,016,451.769","1,689,255,410.563","1,729,091,979.769","1,768,530,183.283","1,807,574,004.761"
United States,Luxury Leather Goods,Revenue Comparison,Latvia,USD (US$),Statista Market Insights,"7,431,196.797","8,135,065.851","7,884,298.956","9,662,491.085","8,542,561.68","9,665,114.635","9,897,179.533","10,120,023.906","10,340,639.835","10,559,049.605","10,775,275.277","10,989,338.693"
United States,Luxury Leather Goods,Revenue Comparison,Lithuania,USD (US$),Statista Market Insights,"11,297,862.979","12,198,754.677","11,230,866.657","12,953,333.591","13,629,006.99","15,460,615.804","15,881,627.564","16,285,668.204","16,685,668.437","17,081,668.669","17,473,708.898","17,861,828.724"
United States,Luxury Leather Goods,Revenue Comparison,Netherlands,USD (US$),Statista Market Insights,"714,646,394.114","774,691,867.223","710,160,368.205","856,337,409.905","851,248,670.22","976,216,093.689","1,004,079,694.088","1,030,824,551.273","1,057,301,959.887","1,083,514,594.414","1,109,465,102.596","1,135,156,105.696"
United States,Luxury Leather Goods,Revenue Comparison,Norway,USD (US$),Statista Market Insights,"293,310,158.195","296,405,350.457","253,135,365.037","329,999,055.58","285,463,498.8","323,200,026.452","330,899,574.428","338,293,782.613","345,614,048.716","352,861,112.158","360,035,704.965","367,138,551.845"
United States,Luxury Leather Goods,Revenue Comparison,Poland,USD (US$),Statista Market Insights,"271,040,523.057","288,752,920.533","263,224,325.621","328,200,389.804","283,771,497.61","321,059,773.429","328,647,405.163","335,934,255.548","343,148,237.428","350,290,079.49","357,360,503.131","364,360,222.536"
United States,Luxury Leather Goods,Revenue Comparison,Portugal,USD (US$),Statista Market Insights,"204,143,088.258","219,754,660.329","160,473,055.447","237,898,546.879","224,499,818.3","256,396,631.983","263,345,888.979","270,016,990.752","276,621,381.508","283,159,728.356","289,632,691.735","296,040,925.481"
United States,Luxury Leather Goods,Revenue Comparison,Romania,USD (US$),Statista Market Insights,"111,148,790.504","119,618,868.84","100,877,233.05","120,712,718.936","111,674,519.55","125,035,031.839","127,869,055.654","130,590,063.105","133,283,860.482","135,950,719.885","138,590,910.694","141,204,699.595"
United States,Luxury Leather Goods,Revenue Comparison,Russia,USD (US$),Statista Market Insights,"525,093,214.736","579,271,937.063","342,292,226.96","570,322,242.93","244,647,005.28","285,676,161.2","260,200,147.457","275,262,739.725","266,086,744.758","271,577,667.454","268,256,155.284","270,252,354.676"
United States,Luxury Leather Goods,Revenue Comparison,Serbia,USD (US$),Statista Market Insights,"16,151,328.181","17,914,523.364","15,896,227.234","22,146,693.896","16,976,365.58","19,349,024.451","19,793,452.364","20,220,486.456","20,643,250.206","21,061,786.32","21,476,137.071","21,886,344.316"
United States,Luxury Leather Goods,Revenue Comparison,Slovakia,USD (US$),Statista Market Insights,"25,953,778.783","27,750,287.272","24,004,492.961","27,005,123.422","27,618,854.25","31,669,273.391","32,583,535.523","33,461,030.19","34,329,749.91","35,189,782.433","36,041,214.631","36,884,132.507"
United States,Luxury Leather Goods,Revenue Comparison,Slovenia,USD (US$),Statista Market Insights,"30,977,259.3","33,139,441.751","29,252,566.62","35,095,771.047","32,837,934.71","37,575,125.666","38,595,294.454","39,574,694.869","40,544,301.279","41,504,211.625","42,454,522.868","43,395,330.998"
United States,Luxury Leather Goods,Revenue Comparison,Spain,USD (US$),Statista Market Insights,"1,031,377,107.411","1,101,573,907.709","860,464,394.809","1,114,624,573.677","1,039,130,655.09","1,191,188,151.559","1,223,959,602.817","1,255,421,282.091","1,286,568,344.572","1,317,403,936.428","1,347,931,172.366","1,378,153,135.944"
United States,Luxury Leather Goods,Revenue Comparison,Sweden,USD (US$),Statista Market Insights,"472,058,497.733","481,415,877.213","468,648,767.168","592,237,719.878","536,984,272.35","612,502,241.192","628,472,964.939","643,807,068.805","658,987,831.632","674,016,786.83","688,895,452.477","703,625,331.467"
United States,Luxury Leather Goods,Revenue Comparison,Switzerland,USD (US$),Statista Market Insights,"475,913,812.653","523,177,890.239","501,463,977.683","640,162,409.688","589,515,125.64","669,945,460.754","687,108,409.195","703,586,351.664","719,899,514.708","736,049,546.122","752,038,077.222","767,866,723.011"
United States,Luxury Leather Goods,Revenue Comparison,United Kingdom,USD (US$),Statista Market Insights,"1,604,432,283.89","1,701,573,446.426","1,387,830,287.319","1,859,206,757.399","1,857,975,653.44","2,136,080,286.941","2,198,446,914.505","2,258,307,552.737","2,317,569,584.588","2,376,238,996.119","2,434,321,713.535","2,491,823,603.778"
United States,Luxury Leather Goods,Revenue Comparison,Chile,USD (US$),Statista Market Insights,"156,015,376.04","170,918,758.781","94,247,029.751","118,872,576.792","194,702,554.84","217,875,132.527","224,382,260.821","230,620,983.456","236,797,318.865","242,911,890.919","248,965,317.253","254,958,209.323"
United States,Luxury Leather Goods,Revenue Comparison,Colombia,USD (US$),Statista Market Insights,"158,131,557.842","169,606,979.703","110,718,756.906","135,838,484.813","173,404,199.94","200,504,559.105","207,213,578.463","213,649,676.312","220,021,413.183","226,329,432.686","232,574,371.993","238,756,861.907"
United States,Luxury Leather Goods,Revenue Comparison,Morocco,USD (US$),Statista Market Insights,"35,611,462.683","41,636,407.836","25,902,744.37","47,713,406.616","44,482,388.45","55,549,063.207","57,978,690.289","60,310,966.962","62,619,920.867","64,905,785.234","67,168,790.957","69,409,166.623"
United States,Luxury Leather Goods,Revenue Comparison,Nigeria,USD (US$),Statista Market Insights,"74,829,581.955","88,992,760.1","52,327,966.599","54,511,935.631","82,146,204.79","98,213,911.34","102,268,527.942","106,157,836.274","110,008,251.523","113,820,162.619","117,593,954.604","121,330,008.669"
United States,Luxury Leather Goods,Revenue Comparison,New Zealand,USD (US$),Statista Market Insights,"356,343,809.935","398,393,903.436","347,583,081.25","492,739,713.175","459,590,440.02","575,667,261.547","601,062,186.893","625,440,077.908","649,574,190.014","673,466,960.998","697,120,804.273","720,538,109.115"
United States,Luxury Leather Goods,Revenue Comparison,Angola,USD (US$),Statista Market Insights,"24,419,457","27,788,157","22,507,775","28,396,793","31,375,550.27","36,830,552.028","38,102,221.837","39,322,538.234","40,530,651.467","41,726,683.568","42,910,755.348","44,082,986.41"
United States,Luxury Leather Goods,Revenue Comparison,Azerbaijan,USD (US$),Statista Market Insights,"8,634,414.271","10,222,644.222","7,491,832.863","11,594,647.187","11,370,379.03","12,921,203.713","13,267,076.139","13,599,060.814","13,927,725.643","14,253,103.824","14,575,228.222","14,894,131.377"
United States,Luxury Leather Goods,Revenue Comparison,Bahrain,USD (US$),Statista Market Insights,"10,065,768.21","11,862,844.258","9,289,760.818","13,494,397.289","14,260,552.9","15,676,901.238","16,010,482.169","16,330,574.58","16,647,466.067","16,961,188.639","17,271,773.985","17,579,253.478"
United States,Luxury Leather Goods,Revenue Comparison,Bangladesh,USD (US$),Statista Market Insights,"62,280,196.541","71,764,111.072","46,465,708.294","63,342,240.721","84,860,091.99","99,225,198.599","102,815,205.827","106,259,009.886","109,668,375.904","113,043,648.263","116,385,167.898","119,693,272.336"
United States,Luxury Leather Goods,Revenue Comparison,Armenia,USD (US$),Statista Market Insights,"2,961,407.978","3,450,562.78","2,829,622.394","3,586,386.185","3,483,109.21","4,159,035.566","4,308,338.46","4,451,654.236","4,593,536.854","4,734,000.645","4,873,059.799","5,010,728.361"
United States,Luxury Leather Goods,Revenue Comparison,Bhutan,USD (US$),Statista Market Insights,"568,386.275","655,903.567","510,474.065","671,292.721","757,922.51","878,999.072","907,623.515","935,089.989","962,281.799","989,201.691","1,015,852.384","1,042,236.57"
United States,Luxury Leather Goods,Revenue Comparison,Bolivia,USD (US$),Statista Market Insights,"6,566,712.021","8,035,690.463","5,376,885.401","8,086,586.441","9,833,574.17","11,442,405.128","11,833,948.13","12,209,595.446","12,581,486.289","12,949,658.224","13,314,148.439","13,674,993.752"
United States,Luxury Leather Goods,Revenue Comparison,Bosnia and Herzegovina,USD (US$),Statista Market Insights,"5,384,937.058","5,892,858.535","4,989,737.939","6,099,030.598","6,650,308.64","7,654,352.832","7,888,509.498","8,113,209.812","8,335,663.123","8,555,891.902","8,773,918.392","8,989,764.618"
United States,Luxury Leather Goods,Revenue Comparison,Botswana,USD (US$),Statista Market Insights,"3,572,844.68","4,053,547.724","3,258,716.186","3,410,817.546","4,498,683.01","5,675,400.812","5,956,060.385","6,225,353.984","6,491,954.647","6,755,889.304","7,017,184.614","7,275,866.971"
United States,Luxury Leather Goods,Revenue Comparison,Belize,USD (US$),Statista Market Insights,"478,846.947","574,680.865","467,214.456","570,389.325","678,682.27","805,958.691","836,266.926","865,347.989","894,138.241","922,640.591","950,857.917","978,793.071"
United States,Luxury Leather Goods,Revenue Comparison,Brunei Darussalam,USD (US$),Statista Market Insights,"3,725,807.643","4,186,959.492","3,117,803.019","3,898,154.14","4,975,728","5,721,534.577","5,907,118.75","6,085,148.82","6,261,398.589","6,435,885.86","6,608,628.259","6,779,643.233"
United States,Luxury Leather Goods,Revenue Comparison,Myanmar,USD (US$),Statista Market Insights,"10,122,802.94","11,268,169.441","7,972,865.67","8,442,660.502","13,260,182.92","14,841,626.28","15,277,977.648","15,696,363.266","16,110,565.029","16,520,624.774","16,926,583.921","17,328,483.477"
United States,Luxury Leather Goods,Revenue Comparison,Burundi,USD (US$),Statista Market Insights,"1,741,035.567","2,042,482.6","1,625,984.152","1,986,260.524","2,250,073.16","2,585,497.219","2,665,098.625","2,741,478.345","2,817,094.267","2,891,954.03","2,966,065.196","3,039,435.25"
United States,Luxury Leather Goods,Revenue Comparison,Belarus,USD (US$),Statista Market Insights,"24,027,296.531","26,951,957.933","22,384,052.253","25,109,990.653","19,569,153.56","22,359,598.059","22,885,246.645","23,390,304.393","23,890,311.563","24,385,318.662","24,875,375.69","25,360,532.147"
United States,Luxury Leather Goods,Revenue Comparison,Cambodia,USD (US$),Statista Market Insights,"52,080,763.745","61,864,665.571","58,620,341.573","67,028,982.779","74,604,564.19","86,670,966.173","89,495,855.025","92,206,606.814","94,890,251.086","97,547,058.915","100,177,298.665","102,781,236.019"
United States,Luxury Leather Goods,Revenue Comparison,Cameroon,USD (US$),Statista Market Insights,"8,817,904.853","10,608,539.065","10,663,061.879","13,581,623.506","14,634,180.74","17,600,238.988","18,281,632.729","18,935,561.21","19,582,950.406","20,223,865.71","20,858,371.861","21,486,532.95"
United States,Luxury Leather Goods,Revenue Comparison,Sri Lanka,USD (US$),Statista Market Insights,"30,489,561.979","33,683,336.533","24,730,312.784","25,261,511.482","36,123,174.8","39,875,524.407","40,899,948.698","41,882,241.815","42,854,712.001","43,817,457.485","44,770,575.514","45,714,162.363"
United States,Luxury Leather Goods,Revenue Comparison,Chad,USD (US$),Statista Market Insights,"3,833,198.839","4,610,462.8","3,114,761.302","4,044,204.898","6,357,903.78","7,604,505.979","7,923,243.028","8,228,965.35","8,531,630.448","8,831,268.896","9,127,910.959","9,421,586.601"
United States,Luxury Leather Goods,Revenue Comparison,Republic of the Congo,USD (US$),Statista Market Insights,"2,128,982.467","2,459,900.644","1,524,074.987","2,270,846.777","3,232,342.59","3,841,155.955","3,994,233.844","4,141,073.214","4,286,444.19","4,430,361.457","4,572,839.55","4,713,892.863"
United States,Luxury Leather Goods,Revenue Comparison,Costa Rica,USD (US$),Statista Market Insights,"21,213,483.443","24,889,619.847","19,466,386.211","26,676,989.193","27,752,683.23","32,946,523.523","34,128,490.244","35,262,872.674","36,385,911.279","37,497,719.498","38,598,409.634","39,688,092.87"
United States,Luxury Leather Goods,Revenue Comparison,Cuba,USD (US$),Statista Market Insights,"20,873,519.59","24,541,891.606","15,564,679.083","20,830,832.359","27,895,228.44","32,526,977.979","33,686,408.342","34,798,611.85","35,899,693.323","36,989,763.981","38,068,933.932","39,137,312.184"
United States,Luxury Leather Goods,Revenue Comparison,Cyprus,USD (US$),Statista Market Insights,"10,425,993.093","11,011,547.189","8,814,435.887","11,221,518.256","12,057,019.25","14,109,387.892","14,583,051.786","15,037,612.227","15,487,627.065","15,933,141.753","16,374,201.295","16,810,850.242"
United States,Luxury Leather Goods,Revenue Comparison,Benin,USD (US$),Statista Market Insights,"3,023,147.602","3,477,178.584","3,402,110.935","4,218,356.621","4,541,384.02","5,496,463.601","5,715,415.427","5,925,544.247","6,133,571.779","6,339,519.035","6,543,406.819","6,745,255.725"
United States,Luxury Leather Goods,Revenue Comparison,Dominican Republic,USD (US$),Statista Market Insights,"42,711,468.563","49,507,403.377","28,984,566.938","38,460,373.28","51,658,287.59","60,948,956.354","63,255,759.273","65,468,689.268","67,659,489.964","69,828,382.652","71,975,586.414","74,101,318.138"
United States,Luxury Leather Goods,Revenue Comparison,Ecuador,USD (US$),Statista Market Insights,"18,123,447.231","21,936,477.426","15,017,869.489","22,658,363.363","26,325,709.15","30,597,459.215","31,620,615.884","32,602,315.198","33,574,197.518","34,536,361.016","35,488,902.878","36,431,919.322"
United States,Luxury Leather Goods,Revenue Comparison,El Salvador,USD (US$),Statista Market Insights,"6,174,543.249","7,454,979.799","4,672,795.549","8,199,648.33","8,907,421.99","10,592,946.046","10,984,343.526","11,359,942.949","11,731,786.379","12,099,911.374","12,464,355.119","12,825,154.427"
United States,Luxury Leather Goods,Revenue Comparison,Equatorial Guinea,USD (US$),Statista Market Insights,"1,867,909.072","2,198,566.083","1,595,053.743","2,068,486.364","3,009,737.45","3,602,020.297","3,750,732.326","3,893,384.778","4,034,610.704","4,174,424.372","4,312,839.903","4,449,871.279"
United States,Luxury Leather Goods,Revenue Comparison,Ethiopia,USD (US$),Statista Market Insights,"61,486,006.611","72,540,312.557","46,166,908.681","47,965,489.641","54,534,235.49","66,372,067.993","69,117,017.343","71,751,194.573","74,359,030.031","76,940,787.135","79,496,726.667","82,027,106.804"
United States,Luxury Leather Goods,Revenue Comparison,Fiji,USD (US$),Statista Market Insights,"1,111,106.719","1,254,362.337","826,006.091","1,517,950.322","1,590,341.26","2,069,247.035","2,177,803.603","2,281,992.071","2,385,138.655","2,487,253.772","2,588,347.739","2,688,430.766"
United States,Luxury Leather Goods,Revenue Comparison,Gabon,USD (US$),Statista Market Insights,"2,875,374.212","3,212,873.332","2,469,131.428","2,854,528.667","3,972,895.65","4,816,522.51","5,024,048.746","5,223,139.245","5,420,238.84","5,615,367.439","5,808,544.751","5,999,790.291"
